Country,City,Latitude,Longitude
gt,panajachel,14.733333,-91.15
in,proddatur,14.733333,78.55
mx,puerto madero,14.733333,-92.416667
hn,esquias,14.7333333,-87.3666667
hn,punuare,14.7333333,-85.9666667
hn,san jose de comayagua,14.7333333,-88.0333333
ml,sokolo,14.7333333,-6.1333333
mq,la trinite,14.7333333,-60.9666667
mq,saint-pierre,14.7333333,-61.1666667
ni,waspan,14.7333333,-83.9666667
gt,comalapa,14.741111,-90.8875
ph,san nicolas,15.0168,120.7017
ph,san jose,15.0169,120.865
ph,lourdes,15.0193,120.8511
ph,calantas,15.0198,120.519
ph,pias,15.0198,120.5599
in,shirhatti,15.233333,75.583333
dm,berekua,15.2333333,-61.3166667
hn,chiquila,15.2333333,-88.5833333
hn,la sarrosa,15.2333333,-87.8333333
hn,urraco,15.2333333,-87.85
ml,nioro,15.2333333,-9.5833333
ph,san roque,15.2372,120.9558
th,ubon ratchathani,15.23844,104.848659
ph,san roque,15.2419,120.853
th,phibun mangsahan,15.244667,105.229084
ph,san antonio,15.2462,120.8496
dm,pointe michel,15.25,-61.3833333
gt,san miguel ixtahuacan,15.25,-91.75
hn,agua blanca sur,15.25,-87.8833333
hn,el ermitano,15.25,-88.6833333
hn,la guacamaya,15.25,-87.8
ph,iba,15.455052,120.413032
th,phayuha khiri,15.45525,100.135334
sd,kassala,15.4558333,36.3988889
ph,lipay,15.4561,119.9208
ph,sula,15.457252,120.395532
ph,santa lucia,15.4598,120.7996
th,thap than,15.460632,99.891657
ph,moriones,15.460751,120.466432
ph,amucao,15.46405,120.686432
ph,villa aglipay,15.466051,120.452732
mx,el espinal,16.333333,-94.066667
ph,sadsadan,16.9333,120.8667
gt,flores,16.933333,-89.883333
in,kakinada,16.933333,82.216667
in,malkapur,16.933333,73.916667
mx,pantelho,16.933333,-92.55
mx,el ocotito,17.25,-99.566667
mx,huitzo,17.25,-96.866667
mx,suchilquitongo,17.25,-96.883333
mx,tecpan,17.25,-100.683333
mx,xalpatlahuac,17.25,-98.666667
mx,miguel hidalgo,17.266667,-91.15
mx,tlaxiaco,17.266667,-97.683333
ph,larion,17.628611,121.760847
ph,gadu,17.6292,121.6105
in,sangareddi,17.629444,78.091667
mx,zihuatanejo,17.633333,-101.55
in,moram,17.8,76.466667
mx,balancan,17.8,-91.533333
mx,belen,17.8,-92.616667
ph,san nicolas,18.15,120.633333
us,humacao,18.1516667,-65.8277778
ph,sarrat,18.1574,120.647
ph,catayauan,18.16358,121.652752
us,adjuntas,18.1647222,-66.7225
ph,piddig,18.1655,120.7175
in,manthani,18.65,79.666667
mx,tenango,18.65,-98.183333
mx,tlacoyalco,18.65,-97.583333
mx,zacatepec,18.65,-99.2
do,villa altagracia,18.6666667,-70.1666667
mx,nocupetaro,19.05,-101.15
mx,ozumba,19.05,-98.8
mx,puebla,19.05,-98.2
mx,san sebastian villanueva,19.05,-97.716667
mx,tres marias,19.052222,-99.243056
mx,tlanisco,19.061389,-99.655556
in,jagdalpur,19.066667,82.033333
mx,buenos aires,19.066667,-102.166667
mx,sanctorum,19.1,-98.25
mx,tlachichuca,19.1,-97.416667
mx,tenango de arista,19.101667,-99.593056
sd,sawakin,19.1038889,37.33
mx,balderas,19.106944,-99.654722
in,hinjilikatu,19.483333,84.75
in,paithan,19.483333,75.383333
mx,coacoatzintla,19.633333,-96.933333
mx,las vigas,19.633333,-97.083333
mx,tepetitlan,19.633333,-99.916667
mx,cahuacan,19.639167,-99.416111
vn,thanh hoa,19.8,105.766667
mx,los reyes,19.808333,-98.248611
cn,lingao,19.907778,109.685833
mx,tequixquiac,19.908056,-99.1475
mx,hueypoxtla,19.908333,-99.08
mx,la barca,20.283333,-102.566667
mx,pahuatlan,20.283333,-98.15
mx,tanhuato,20.283333,-102.333333
mx,tarimoro,20.283333,-100.75
cu,contramaestre,20.2977778,-76.2413889
mx,el colorado,20.566667,-100.25
mx,octopan,20.566667,-100.733333
mx,puente grande,20.566667,-103.15
mx,salamanca,20.566667,-101.2
in,barpali,21.2,83.583333
mx,buctzotz,21.2,-88.783333
mx,cerro azul,21.2,-97.733333
mx,dzemul,21.2,-89.3
mx,isla mujeres,21.2,-86.716667
mx,jalostotitlan,21.2,-102.466667
mx,telchac,21.2,-89.266667
mx,victoria,21.210833,-100.211944
in,bhilai,21.216667,81.433333
mx,ixcatepec,21.216667,-98
mx,tlaltenango,21.783333,-103.316667
mx,santa maria del rio,21.8,-100.75
mx,villa de reyes,21.8,-100.933333
cu,trinidad,21.8019444,-79.9841667
in,brajrajnagar,21.816667,83.916667
in,jaleswar,21.816667,87.216667
tw,chiali,23.16,120.1777778
cn,luoyang,23.162442,114.273423
bd,naral,23.1666667,89.5
in,adalaj,23.166667,72.583333
in,begamganj,23.6,78.333333
in,himatnagar,23.6,72.95
in,mahesana,23.6,72.4
in,ondal,23.6,87.2
in,partapur,23.6,74.166667
mx,canitas,23.6,-102.716667
in,jahanabad,25.216667,84.983333
in,kachhwa,25.216667,82.716667
mx,nazas,25.216667,-104.1
in,kolaras,25.233333,77.6
in,babina,25.25,78.466667
us,south miami,25.7072222,-80.2936111
us,kendale lakes,25.7077778,-80.4072222
bs,alice town,25.7166667,-79.3
in,kunda,25.716667,81.516667
in,moth,25.716667,78.95
us,coral gables,25.7211111,-80.2686111
cn,rongcheng,25.725,119.379444
in,chatsu,26.6,75.95
in,phaphund,26.6,79.466667
in,sitamarhi,26.6,85.483333
us,lake worth,26.6155556,-80.0572222
in,nagram,26.616667,81.133333
bs,high rock,26.6208333,-78.2833333
us,lehigh acres,26.625,-81.625
in,bithur,26.633333,80.283333
in,sakit,27.45,78.816667
mx,campo sesenta,27.45,-110.1
us,south bradenton,27.4627778,-82.5819444
in,nuh,28.116667,77.016667
es,granadilla de abona,28.118816,-16.575989
es,adeje,28.11984,-16.725581
in,jhunjhunun,28.1307,75.4014
in,sirsi,28.65,78.65
ir,jiroft,28.6535,57.7646
ir,khormuj,28.6543,51.38
es,los llanos de aridane,28.658507,-17.918211
us,altamonte springs,28.6608333,-81.3658333
us,forest city,28.6613889,-81.4191667
us,mims,28.665,-80.845
in,panipat,29.388889,76.968056
in,afzalgarh,29.4,78.683333
in,kairana,29.4,77.2
in,ramnagar,29.4,79.116667
pk,bahawalpur,29.4,71.683333
ir,abadan,30.3392,48.3043
pk,pakpattan,30.341044,73.386642
pk,ziarat,30.343651,67.741324
cn,anju,30.349556,105.455937
cn,zhifang,30.35,114.316667
jo,sirfa,31.329643,35.654394
in,bilaspur,31.333333,76.75
mx,nogales,31.333333,-110.933333
pk,jaranwala,31.333333,73.433333
mx,naco,31.334722,-109.948333
pk,chiniot,31.72,72.978889
in,gardhiwala,31.7325,75.750556
jp,kokubu,31.733333,130.766667
us,calexico,32.6788889,-115.4980556
cn,ankang,32.68,109.017222
il,iksal,32.68164,35.323646
cn,dengzhou,32.682222,112.081944
jo,kafr sawm,32.683333,35.8
jp,uto,32.683333,130.666667
pt,santa cruz,32.683333,-16.8
ir,rehnan,32.684617,51.60129
us,coronado,32.6858333,-117.1822222
us,alabaster,33.2441667,-86.8163889
us,griffin,33.2466667,-84.2641667
us,commerce,33.2469444,-95.8997222
jp,nagato,34.383333,131.2
jp,tsuyama,35.05,134
jp,yasu,35.05,136.016667
sy,masyaf,35.05,36.35
us,raleigh,35.7719444,-78.6388889
ma,tangier,35.780576,-5.813646
us,statesville,35.7825,-80.8875
jp,matsudo,35.783333,139.9
ir,fereydun kenar,36.686418,52.522548
es,jerez,36.686454,-6.136063
us,martinsville,36.6913889,-79.8727778
gr,varvasaina,37.6833333,21.5
us,wichita,37.6922222,-97.3372222
gr,ayia paraskevi,38.0166667,23.8333333
